station_name,address,city,fuel_type,price,google_maps_url
Neste,Kārļa Ulmaņa gatve 88,Rīga,diesel,1.574,https://www.google.com/maps/search/?api=1&query=K%C4%81r%C4%BCa+Ulma%C5%86a+gatve+88%2C+R%C4%ABga
Circle K,Brīvības iela 100,Rīga,diesel,1.589,https://www.google.com/maps/search/?api=1&query=Br%C4%ABv%C4%ABbas+iela+100%2C+R%C4%ABga
