station_name,address,city,fuel_type,price,google_maps_url
Neste Ulmaņa gatve</strong><br />,"Ulmaņa gatve 84, Rīga</span></td>",Rīga</span></td>,diesel,2.117,https://www.google.com/maps/search/?api=1&query=Ulma%C5%86a+gatve+84%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E
Neste Jugla</strong><br />,"Brīvības gatve 386, Rīga</span></span></td>",Rīga</span></span></td>,diesel,2.117,https://www.google.com/maps/search/?api=1&query=Br%C4%ABv%C4%ABbas+gatve+386%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Fspan%3E%3C%2Ftd%3E%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Fspan%3E%3C%2Ftd%3E
Neste Lucavsala</strong><br />,"Lucavsalas iela 1, Rīga</span></td>",Rīga</span></td>,diesel,2.117,https://www.google.com/maps/search/?api=1&query=Lucavsalas+iela+1%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E
Neste Krasta</strong><br />,"Krasta iela 68, Rīga</span></td>",Rīga</span></td>,diesel,2.117,https://www.google.com/maps/search/?api=1&query=Krasta+iela+68%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E
Neste Latgales</strong><br />,"Latgales iela 427b, Rīga</span></td>",Rīga</span></td>,diesel,2.117,https://www.google.com/maps/search/?api=1&query=Latgales+iela+427b%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E%2C+R%C4%ABga%3C%2Fspan%3E%3C%2Ftd%3E
